variable,characteristic,VOUCH0,attempted_mean,respondent_mean,ipw_mean,respondent_smd,ipw_smd
age_application,Age at application,0,12.697643097643098,12.58756345177665,12.672403471529464,-0.08108231050175758,-0.01859096825199494
age_application,Age at application,1,12.534666666666666,12.455421686746988,12.545522371348143,-0.05909861348232696,0.00809587049803239
age_missing,Age missing,0,0.06936026936026936,0.050761421319796954,0.08278433765097516,-0.07318019956986416,0.052819185060043315
age_missing,Age missing,1,0.06333333333333334,0.02891566265060241,0.04911364207337952,-0.14126284741479458,-0.058362871074486095
PHONE,Applicant has phone,0,0.9414141414141407,0.9390862944162442,0.9363416801561297,-0.009908807636839318,-0.021591643650278443
PHONE,Applicant has phone,1,0.9499999999999992,0.9469879518072285,0.9534002632554084,-0.013815617422269454,0.01559627644221783
sex_name,Gender based on name,0,0.4787878787878786,0.49238578680203055,0.4749802026092287,0.02721115621587699,-0.007619647905316272
sex_name,Gender based on name,1,0.47666666666666674,0.49518072289156617,0.48239281165774145,0.037056139698926106,0.011460958427910523
sex_name_missing,Gender missing,0,0.014141414141414142,0.01649746192893401,0.019211838816663697,0.019947298492782595,0.04292836292121269
sex_name_missing,Gender missing,1,0.021333333333333333,0.01325301204819277,0.015552536695719875,-0.055903250187743433,-0.039994117722925354
