Panel,Sample,Outcome,Loser mean,Loser SD,Voucher effect,Robust SE,Loser N,Model N,Maximum sample N
A. PACES application data,Bogota 1995,Has phone,0.882,,0.009,0.011,1519,3661,3661
A. PACES application data,Bogota 1995,Age at time of application,12.7,1.3,-0.086,0.045,1519,3661,3661
A. PACES application data,Bogota 1995,Male,0.493,,0.013,0.017,1500,3608,3661
A. PACES application data,Bogota 1997,Has phone,0.828,,0.029,0.025,256,1736,1736
A. PACES application data,Bogota 1997,Age at time of application,12.7,1.5,-0.227,0.102,256,1736,1736
A. PACES application data,Bogota 1997,Male,0.484,,0.007,0.044,252,519,1736
A. PACES application data,Jamundi 1993,Has phone,0.301,,0.068,0.052,166,335,335
A. PACES application data,Jamundi 1993,Age at time of application,12.7,1.5,-0.383,0.162,166,335,335
A. PACES application data,Jamundi 1993,Male,0.386,,0.114,0.055,158,320,335
A. PACES application data,Combined sample,Has phone,0.825,,0.017,0.010,1941,5732,5732
A. PACES application data,Combined sample,Age at time of application,12.7,1.4,-0.133,0.040,1941,5732,5732
A. PACES application data,Combined sample,Male,0.483,,0.019,0.015,1910,4447,5732
B. All attempted contacts,Bogota 1995,Has phone,1.000,,—,,1035,2067,2067
B. All attempted contacts,Bogota 1995,Age at time of application,12.8,1.3,-0.118,0.060,1035,2067,2067
B. All attempted contacts,Bogota 1995,Male,0.500,,-0.007,0.022,1023,2034,2067
B. All attempted contacts,Bogota 1997,Has phone,1.000,,—,,212,448,448
B. All attempted contacts,Bogota 1997,Age at time of application,12.6,1.5,-0.193,0.136,212,448,448
B. All attempted contacts,Bogota 1997,Male,0.488,,-0.020,0.048,209,442,448
B. All attempted contacts,Jamundi 1993,Has phone,0.370,,0.082,0.059,135,272,272
B. All attempted contacts,Jamundi 1993,Age at time of application,12.8,1.6,-0.595,0.183,135,272,272
B. All attempted contacts,Jamundi 1993,Male,0.372,,0.102,0.061,129,262,272
B. All attempted contacts,Combined sample,Has phone,0.938,,0.008,0.006,1382,2787,2787
B. All attempted contacts,Combined sample,Age at time of application,12.7,1.4,-0.177,0.052,1382,2787,2787
B. All attempted contacts,Combined sample,Male,0.486,,0.001,0.019,1361,2738,2787
C. Survey data,Bogota 1995,Age at time of survey,15.0,1.4,-0.013,0.078,580,1172,1176
C. Survey data,Bogota 1995,Male,0.501,,0.004,0.029,583,1176,1176
C. Survey data,Bogota 1995,Mother's highest grade completed,5.9,2.7,-0.079,0.166,510,1055,1176
C. Survey data,Bogota 1995,Father's highest grade completed,5.9,2.9,-0.431,0.199,410,841,1176
C. Survey data,Bogota 1995,Mother's age,40.7,7.3,-0.027,0.426,547,1123,1176
C. Survey data,Bogota 1995,Father's age,44.4,8.1,0.567,0.533,458,940,1176
C. Survey data,Bogota 1995,Father earns more than two minimum wages,0.100,,0.005,0.021,421,861,1176
C. Survey data,Bogota 1997,Age at time of survey,13.2,1.4,-0.259,0.171,130,276,277
C. Survey data,Bogota 1997,Male,0.527,,-0.047,0.061,131,277,277
C. Survey data,Bogota 1997,Mother's highest grade completed,5.9,2.7,0.654,0.371,116,255,277
C. Survey data,Bogota 1997,Father's highest grade completed,5.5,2.5,0.929,0.388,96,214,277
C. Survey data,Bogota 1997,Mother's age,38.7,6.6,-0.146,0.808,120,261,277
C. Survey data,Bogota 1997,Father's age,41.9,7.3,0.265,0.973,102,225,277
C. Survey data,Bogota 1997,Father earns more than two minimum wages,0.088,,-0.008,0.043,91,202,277
C. Survey data,Jamundi 1993,Age at time of survey,17.2,1.4,-0.375,0.217,74,164,165
C. Survey data,Jamundi 1993,Male,0.365,,0.110,0.077,74,165,165
C. Survey data,Jamundi 1993,Mother's highest grade completed,4.4,2.7,1.462,0.494,57,129,165
C. Survey data,Jamundi 1993,Father's highest grade completed,5.2,2.9,0.737,0.640,45,97,165
C. Survey data,Jamundi 1993,Mother's age,43.6,8.8,-0.736,1.424,59,134,165
C. Survey data,Jamundi 1993,Father's age,45.5,9.1,1.916,1.611,47,107,165
C. Survey data,Jamundi 1993,Father earns more than two minimum wages,0.133,,-0.092,0.056,45,103,165
C. Survey data,Combined sample,Age at time of survey,14.9,1.7,-0.107,0.068,784,1612,1618
C. Survey data,Combined sample,Male,0.492,,0.008,0.025,788,1618,1618
C. Survey data,Combined sample,Mother's highest grade completed,5.8,2.7,0.183,0.144,683,1439,1618
C. Survey data,Combined sample,Father's highest grade completed,5.8,2.9,-0.042,0.170,551,1152,1618
C. Survey data,Combined sample,Mother's age,40.6,7.4,-0.076,0.362,726,1518,1618
C. Survey data,Combined sample,Father's age,44.1,8.1,0.537,0.453,607,1272,1618
C. Survey data,Combined sample,Father earns more than two minimum wages,0.101,,-0.003,0.018,557,1166,1618
C. Survey data,Test-takers,Age at time of survey,14.9,1.4,-0.128,0.174,124,283,283
C. Survey data,Test-takers,Male,0.452,,0.062,0.061,124,283,283
C. Survey data,Test-takers,Mother's highest grade completed,5.5,2.9,-0.122,0.365,124,283,283
C. Survey data,Test-takers,Father's highest grade completed,4.0,3.3,-0.074,0.411,124,283,283
C. Survey data,Test-takers,Mother's age,40.3,6.6,0.156,0.869,121,276,283
C. Survey data,Test-takers,Father's age,43.5,7.7,0.620,1.154,105,234,283
C. Survey data,Test-takers,Father earns more than two minimum wages,0.052,,0.128,0.046,97,216,283
