panel,sample,outcome,outcome_label,loser_mean,loser_sd,loser_n,maximum_sample_n,voucher_effect,robust_se,model_n
A. PACES application data,Bogota 1995,PHONE,Has phone,0.8815009874917709,0.32330451403203764,1519,3661,0.008788461621207062,0.010694225430629202,3661
A. PACES application data,Bogota 1995,AGE2,Age at time of application,12.739302172481894,1.3269189401456623,1519,3661,-0.08570740124007341,0.04465162015925013,3661
A. PACES application data,Bogota 1995,SEX_NAME,Male,0.4926666666666667,0.5001129514403236,1500,3661,0.012551549652119763,0.01688827175551331,3608
A. PACES application data,Bogota 1997,PHONE,Has phone,0.828125,0.37801078934700405,256,1736,0.028631756756755007,0.025276751465450664,1736
A. PACES application data,Bogota 1997,AGE2,Age at time of application,12.73828125,1.5306859205124028,256,1736,-0.22747043918917448,0.1015331833166601,1736
A. PACES application data,Bogota 1997,SEX_NAME,Male,0.4841269841269841,0.5007425081895878,252,1736,0.006509719992865608,0.04389834747547826,519
A. PACES application data,Jamundi 1993,PHONE,Has phone,0.3012048192771084,0.46016965933291754,166,335,0.06784279977051211,0.051516748281916915,335
A. PACES application data,Jamundi 1993,AGE2,Age at time of application,12.69277108433735,1.5041988208792658,166,335,-0.3832472748135434,0.16195357885567307,335
A. PACES application data,Jamundi 1993,SEX_NAME,Male,0.3860759493670886,0.4883963560105451,158,335,0.11392405063291239,0.05516651841752856,320
A. PACES application data,Combined sample,PHONE,Has phone,0.8248325605358054,0.3802082111228572,1941,5732,0.016568136087927662,0.009916133922614435,5732
A. PACES application data,Combined sample,AGE2,Age at time of application,12.735188047398248,1.370507968203256,1941,5732,-0.13256477560067095,0.039859998899805966,5732
A. PACES application data,Combined sample,SEX_NAME,Male,0.4827225130890055,0.4998322625566225,1910,5732,0.019296632209377516,0.015161421204375396,4447
B. All attempted contacts,Bogota 1995,PHONE,Has phone,1,0,1035,2067,,,2067
B. All attempted contacts,Bogota 1995,AGE2,Age at time of application,12.767149758454106,1.3408054580699507,1035,2067,-0.11792495225255831,0.05952122696055097,2067
B. All attempted contacts,Bogota 1995,SEX_NAME,Male,0.5004887585532748,0.500244319584577,1023,2067,-0.006918036495906523,0.022172462157445595,2034
B. All attempted contacts,Bogota 1997,PHONE,Has phone,1,0,212,448,,,448
B. All attempted contacts,Bogota 1997,AGE2,Age at time of application,12.64622641509434,1.5215154909666697,212,448,-0.19283658458587075,0.13610936816603375,448
B. All attempted contacts,Bogota 1997,SEX_NAME,Male,0.4880382775119618,0.5010570350508438,209,448,-0.020227118713678306,0.04758153152317499,442
B. All attempted contacts,Jamundi 1993,PHONE,Has phone,0.3703703703703704,0.4847024127918903,135,272,0.08218437415517706,0.0594623026485063,272
B. All attempted contacts,Jamundi 1993,AGE2,Age at time of application,12.777777777777779,1.5724620236814626,135,272,-0.5952960259529657,0.18257826558813225,272
B. All attempted contacts,Jamundi 1993,SEX_NAME,Male,0.372093023255814,0.4852474794154726,129,272,0.1015911872705017,0.06070958413950716,262
B. All attempted contacts,Combined sample,PHONE,Has phone,0.9384949348769891,0.24034140191545947,1382,2787,0.008024187631972915,0.005824059740656394,2787
B. All attempted contacts,Combined sample,AGE2,Age at time of application,12.749638205499275,1.3934196286399796,1382,2787,-0.1765465870627162,0.052457547603154055,2787
B. All attempted contacts,Combined sample,SEX_NAME,Male,0.4864070536370315,0.49999891947845043,1361,2787,0.001324968877614947,0.019090680628068884,2738
