variable,outcome,family,estimate,std_error,z_statistic,p_value,n,p_value_bh,p_value_bh_all,significant_raw,significant_bh,significant_bh_all
USNGSCH,Using any scholarship in survey year,Program take-up and school sector,0.5198128653432214,0.01875990184315643,27.708719890389403,5.481972416364294e-169,1577,1.3704931040910736e-168,3.8373806914550055e-168,TRUE,TRUE,TRUE
USESCH,Ever used a scholarship,Program take-up and school sector,0.6360532893072229,0.019105330268642026,33.29192850181661,5.052682880386076e-243,1577,2.5263414401930382e-242,7.073756032540507e-242,TRUE,TRUE,TRUE
PRSCHA_1,Started 6th grade in private school,Program take-up and school sector,0.0660571690422336,0.015831494643509997,4.172516274028065,3.0125407468913215e-5,1577,3.0125407468913215e-5,8.4351140912957e-5,TRUE,TRUE,TRUE
PRSCHA_2,Started 7th grade in private school,Program take-up and school sector,0.17027270377565887,0.021355918026521748,7.973092215665865,1.5475261432837544e-15,1577,2.5792102388062573e-15,7.221788668657521e-15,TRUE,TRUE,TRUE
PRSCH_C,Currently in private school,Program take-up and school sector,0.15234202136959507,0.02319407778230762,6.568143075117268,5.094657841247689e-11,1577,6.368322301559612e-11,1.783130244436691e-10,TRUE,TRUE,TRUE
SCYFNSH,Highest grade completed,Educational progression,0.0853743600951667,0.04124354924605534,2.070005168222329,0.038451860478045136,1577,0.06921334886048125,0.053832604669263186,TRUE,FALSE,FALSE
INSCHL,Currently in school,Educational progression,-0.0016397668812951943,0.01625113911992485,-0.10090165798191611,0.9196285269479406,1577,0.9196285269479406,0.9196285269479406,FALSE,FALSE,FALSE
FINISH6,Finished 6th grade,Educational progression,0.01377914902375785,0.010544488480897549,1.306763153918773,0.19129316257301254,1577,0.24594835187958758,0.22317535633518132,FALSE,FALSE,FALSE
FINISH7,Finished 7th grade,Educational progression,0.027096660404101643,0.01752079716737055,1.546542668421759,0.12197356358802049,1304,0.18296034538203074,0.15523908093020788,FALSE,FALSE,FALSE
FINISH8,Finished 8th grade,Educational progression,0.08093865283779263,0.024476299063186054,3.3068174493557168,9.436236414135273e-4,1304,0.008492612772721746,0.0022017884966315637,TRUE,TRUE,TRUE
REPT6,Repetitions of 6th grade,Educational progression,-0.04937184413591835,0.019456894149032938,-2.5374987270705933,0.011164777414681413,1577,0.02512074918303318,0.017367431533948867,TRUE,TRUE,TRUE
REPT,Ever repeated after the lottery,Educational progression,-0.054751443185926965,0.018844309980503238,-2.905462882035696,0.003667103407379236,1577,0.01650196533320656,0.007334206814758472,TRUE,TRUE,TRUE
NREPT,Total repetitions since the lottery,Educational progression,-0.05798660919761506,0.021827902921697694,-2.6565359670889115,0.007894802888965593,1577,0.023684408666896778,0.013815905055689788,TRUE,TRUE,TRUE
TOTSCYRS,Years in school since the lottery,Educational progression,0.014771513992968758,0.04357390405807069,0.33899909389075733,0.7346104127626245,1577,0.8264367143579525,0.7911189060520571,FALSE,FALSE,FALSE
