Outcome,Family,Estimate,Robust SE,Raw p-value,BH p-value: within family,BH p-value: all outcomes,Survives family BH
Using any scholarship in survey year,Program take-up and school sector,0.520,0.019,< 0.001,< 0.001,< 0.001,Yes
Ever used a scholarship,Program take-up and school sector,0.636,0.019,< 0.001,< 0.001,< 0.001,Yes
Started 6th grade in private school,Program take-up and school sector,0.066,0.016,< 0.001,< 0.001,< 0.001,Yes
Started 7th grade in private school,Program take-up and school sector,0.170,0.021,< 0.001,< 0.001,< 0.001,Yes
Currently in private school,Program take-up and school sector,0.152,0.023,< 0.001,< 0.001,< 0.001,Yes
Highest grade completed,Educational progression,0.085,0.041,0.03845,0.06921,0.05383,No
Currently in school,Educational progression,-0.002,0.016,0.91963,0.91963,0.91963,No
Finished 6th grade,Educational progression,0.014,0.011,0.19129,0.24595,0.22318,No
Finished 7th grade,Educational progression,0.027,0.018,0.12197,0.18296,0.15524,No
Finished 8th grade,Educational progression,0.081,0.024,< 0.001,0.00849,0.00220,Yes
Repetitions of 6th grade,Educational progression,-0.049,0.019,0.01116,0.02512,0.01737,Yes
Ever repeated after the lottery,Educational progression,-0.055,0.019,0.00367,0.01650,0.00733,Yes
Total repetitions since the lottery,Educational progression,-0.058,0.022,0.00789,0.02368,0.01382,Yes
Years in school since the lottery,Educational progression,0.015,0.044,0.73461,0.82644,0.79112,No
