outcome,bogota_loser_mean,bogota_no_controls,bogota_basic,bogota_barrio,combined_basic,combined_barrio
Using any scholarship in survey year,0.057 (0.232),0.509 (0.023),0.504 (0.022),0.505 (0.022),0.520 (0.019),0.521 (0.019)
Ever used a scholarship,0.244 (0.430),0.672 (0.021),0.663 (0.022),0.662 (0.022),0.636 (0.019),0.635 (0.019)
Started 6th grade in private school,0.877 (0.328),0.063 (0.017),0.057 (0.017),0.058 (0.017),0.066 (0.016),0.067 (0.016)
Started 7th grade in private school,0.673 (0.470),0.174 (0.025),0.168 (0.025),0.171 (0.024),0.170 (0.021),0.173 (0.021)
Currently in private school,0.539 (0.499),0.160 (0.028),0.153 (0.027),0.156 (0.027),0.152 (0.023),0.154 (0.023)
Highest grade completed,7.486 (0.965),0.164 (0.053),0.130 (0.051),0.120 (0.051),0.085 (0.041),0.078 (0.041)
Currently in school,0.831 (0.375),0.019 (0.022),0.007 (0.020),0.007 (0.020),-0.002 (0.016),-0.002 (0.016)
Finished 6th grade,0.943 (0.232),0.026 (0.012),0.023 (0.012),0.021 (0.011),0.014 (0.011),0.012 (0.010)
Finished 7th grade,0.847 (0.360),0.040 (0.020),0.031 (0.019),0.029 (0.019),0.027 (0.018),0.025 (0.017)
Finished 8th grade,0.632 (0.483),0.112 (0.027),0.100 (0.027),0.094 (0.027),0.081 (0.024),0.077 (0.024)
Repetitions of 6th grade,0.194 (0.454),-0.066 (0.024),-0.059 (0.024),-0.059 (0.024),-0.049 (0.019),-0.049 (0.019)
Ever repeated after the lottery,0.224 (0.417),-0.060 (0.023),-0.055 (0.023),-0.051 (0.023),-0.055 (0.019),-0.053 (0.019)
Total repetitions since the lottery,0.254 (0.508),-0.073 (0.028),-0.067 (0.027),-0.064 (0.027),-0.058 (0.022),-0.057 (0.022)
Years in school since the lottery,3.653 (0.951),0.058 (0.052),0.034 (0.050),0.031 (0.050),0.015 (0.044),0.012 (0.043)
